,sex,row_number,liters_drunk,age,drink,check_number,label
1333,0,30.0,3.0,16,Cola,8008,0
1334,0,72.0,0.0,47,Cola,8734,0
1335,1,86.0,3.0,39,Cola,1956,1
1336,0,58.0,3.0,80,Cola,8936,1
1337,1,78.0,5.0,32,Water,1817,1
1338,0,100.0,0.0,24,Cola,6228,1
1339,0,87.0,5.0,69,Water,5204,1
1340,1,95.0,5.0,27,Beerbeer,980,1
1341,1,93.0,1.0,49,Cola,6889,0
1342,1,36.0,4.0,34,Bugbeer,4446,1
1343,1,54.0,2.4767078189300413,57,Cola,3681,0
1344,1,39.0,3.0,50,Bugbeer,8417,1
1345,1,62.0,1.0,26,Fanta,3492,1
1346,0,4.0,1.0,27,Water,5565,1
1347,0,32.0,0.0,29,Strong beer,4558,1
1348,1,85.0,2.4767078189300413,34,Cola,9174,0
1349,0,51.0,0.0,49,Water,4579,1
1350,1,60.0,0.0,23,Water,1753,1
1351,1,51.0,0.0,74,Beerbeer,1729,0
1352,0,57.0,2.0,52,Cola,6556,0
1353,0,35.0,4.0,56,Cola,3343,1
1354,1,35.0,4.0,20,Water,1785,0
1355,0,63.0,4.0,37,Fanta,9113,0
1356,1,75.0,5.0,69,Cola,4291,0
1357,0,31.0,2.4767078189300413,28,Strong beer,8514,1
1358,0,48.0,5.0,19,Water,9832,0
1359,0,5.0,2.0,22,Strong beer,3273,1
1360,1,96.0,2.0,15,Cola,2587,1
1361,0,16.0,5.0,71,Water,1239,1
1362,1,81.0,2.0,26,Cola,8736,1
1363,1,15.0,2.4767078189300413,45,Strong beer,2268,1
1364,0,85.0,4.0,31,Water,28,0
1365,0,70.0,2.0,45,Water,2239,1
1366,1,97.0,1.0,14,Fanta,4469,0
1367,1,2.0,1.0,31,Cola,4219,1
1368,0,90.0,4.0,17,Water,2654,0
1369,0,62.0,1.0,36,Fanta,881,1
1370,1,55.0,5.0,76,Strong beer,9715,1
1371,1,1.0,1.0,37,Fanta,6437,0
1372,0,84.0,1.0,68,Cola,2750,0
1373,0,64.0,4.0,78,Water,3495,0
1374,1,10.0,0.0,78,Strong beer,7101,1
1375,1,22.0,4.0,15,Water,8012,0
1376,1,96.0,1.0,55,Bugbeer,1441,0
1377,1,87.0,3.0,19,Fanta,2335,0
1378,0,71.0,2.4767078189300413,21,Strong beer,4427,0
1379,1,31.0,3.0,39,Strong beer,5579,0
1380,0,67.0,5.0,46,Strong beer,9746,1
1381,1,49.0,3.0,70,Beerbeer,6239,0
1382,0,46.0,5.0,19,Water,9740,1
1383,0,93.0,1.0,56,Beerbeer,9682,0
1384,1,21.0,2.0,51,Fanta,8818,0
1385,1,40.0,2.0,51,Strong beer,7872,0
1386,1,91.0,5.0,26,Bugbeer,2691,1
1387,1,5.0,0.0,48,Beerbeer,7868,1
1388,0,52.0,3.0,69,Fanta,5083,1
1389,1,30.0,3.0,25,Cola,2734,1
1390,0,23.0,0.0,44,Water,7000,1
1391,0,24.0,2.0,16,Water,4283,1
1392,0,98.0,3.0,47,Cola,3613,1
1393,1,59.0,5.0,34,Beerbeer,5682,1
1394,0,86.0,3.0,65,Cola,8845,1
1395,1,21.0,3.0,33,Water,6860,1
1396,1,1.0,2.4767078189300413,45,Cola,4892,1
1397,1,57.0,1.0,55,Cola,4123,1
1398,0,65.0,4.0,41,Cola,9661,1
1399,0,31.0,2.0,17,Water,179,0
1400,1,82.0,5.0,56,Beerbeer,9587,0
1401,1,33.0,2.4767078189300413,66,Water,3230,1
1402,0,77.0,2.0,34,Strong beer,3669,0
1403,0,54.0,2.0,44,Strong beer,307,1
1404,0,36.0,0.0,49,Fanta,4667,0
1405,0,37.0,2.4767078189300413,17,Water,7564,0
1406,0,61.0,1.0,65,Bugbeer,3662,1
1407,0,92.0,2.0,13,Cola,7881,0
1408,1,31.0,2.0,50,Beerbeer,8878,1
1409,1,87.0,3.0,77,Fanta,7764,1
1410,0,3.0,2.0,76,Water,2606,1
1411,0,39.0,1.0,10,Water,1008,1
1412,0,45.0,2.4767078189300413,75,Beerbeer,4943,0
1413,0,100.0,5.0,75,Strong beer,391,0
1414,1,79.0,2.0,26,Bugbeer,1831,0
1415,0,10.0,3.0,31,Water,6264,1
1416,0,92.0,2.0,67,Strong beer,4179,1
1417,1,91.0,2.0,79,Fanta,222,0
1418,1,21.0,1.0,30,Fanta,6394,0
1419,0,92.0,4.0,54,Beerbeer,9010,1
1420,0,58.0,0.0,36,Water,617,0
1421,1,24.0,1.0,28,Strong beer,8318,1
1422,0,48.0,5.0,11,Water,7898,1
1423,0,26.0,5.0,49,Water,6100,0
1424,0,99.0,0.0,42,Fanta,8384,0
1425,1,37.0,1.0,13,Cola,4381,1
1426,1,86.0,0.0,67,Beerbeer,7460,0
1427,0,92.0,0.0,59,Water,6215,0
1428,0,77.0,4.0,79,Water,9765,1
1429,0,97.0,4.0,20,Fanta,9223,0
1430,0,84.0,2.0,49,Strong beer,8745,0
1431,1,74.0,2.4767078189300413,38,Beerbeer,6414,1
1432,0,86.0,5.0,53,Beerbeer,8037,1
1433,0,24.0,5.0,35,Beerbeer,404,1
1434,1,62.0,1.0,71,Strong beer,9080,1
1435,0,71.0,5.0,10,Water,5379,1
1436,1,92.0,3.0,25,Beerbeer,5702,1
1437,1,55.0,1.0,54,Strong beer,3172,0
1438,0,88.0,4.0,46,Bugbeer,7833,1
1439,0,83.0,5.0,37,Cola,9021,1
1440,1,73.0,4.0,52,Beerbeer,7214,0
1441,1,39.0,2.4767078189300413,74,Fanta,8914,0
1442,1,99.0,5.0,60,Beerbeer,507,1
1443,0,40.0,3.0,62,Fanta,716,0
1444,0,54.0,3.0,68,Beerbeer,1561,1
1445,1,31.0,4.0,33,Fanta,7817,1
1446,0,90.0,2.4767078189300413,47,Bugbeer,8950,0
1447,0,33.0,2.4767078189300413,38,Fanta,4218,1
1448,1,15.0,1.0,30,Beerbeer,2824,1
1449,0,46.0,2.4767078189300413,23,Fanta,717,1
1450,1,65.0,0.0,30,Water,2271,1
1451,0,21.0,4.0,34,Fanta,7389,1
1452,0,51.0,2.0,40,Cola,5284,1
1453,0,65.0,5.0,75,Bugbeer,9845,1
1454,0,11.0,3.0,48,Beerbeer,2350,1
1455,0,53.0,1.0,13,Fanta,2256,1
1456,1,7.0,5.0,10,Water,5296,1
1457,0,9.0,2.0,61,Beerbeer,6743,1
1458,0,32.0,2.0,34,Fanta,3980,1
1459,1,97.0,0.0,48,Cola,7433,0
1460,0,41.0,2.4767078189300413,45,Cola,2074,1
1461,0,61.0,3.0,80,Fanta,834,1
1462,1,80.0,5.0,80,Cola,7844,0
1463,1,49.0,2.4767078189300413,70,Water,927,1
1464,0,92.0,0.0,62,Bugbeer,3244,0
1465,1,59.0,5.0,76,Beerbeer,4051,1
1466,1,48.0,1.0,42,Bugbeer,9530,1
1467,1,63.0,3.0,21,Fanta,428,0
1468,0,88.0,5.0,44,Fanta,139,0
1469,0,86.0,4.0,41,Beerbeer,9912,1
1470,1,67.0,2.0,41,Beerbeer,2195,1
1471,0,36.0,2.4767078189300413,73,Cola,9722,0
1472,0,98.0,2.0,71,Beerbeer,2428,0
1473,0,1.0,1.0,74,Strong beer,9116,0
1474,1,36.0,4.0,18,Fanta,6744,1
1475,1,61.0,2.0,16,Cola,4293,1
1476,1,52.0,3.0,22,Beerbeer,532,0
1477,1,51.0,4.0,56,Beerbeer,1318,1
1478,1,28.0,1.0,55,Strong beer,7869,1
1479,1,0.0,3.0,29,Fanta,7560,1
1480,0,4.0,3.0,48,Water,9805,1
1481,1,100.0,2.0,62,Beerbeer,9552,0
1482,1,91.0,0.0,69,Bugbeer,918,1
1483,1,71.0,4.0,59,Bugbeer,4244,0
1484,0,1.0,5.0,62,Bugbeer,2518,1
1485,1,47.0,2.0,15,Cola,4729,0
1486,1,76.0,2.0,22,Water,6943,0
1487,0,100.0,2.0,61,Strong beer,2788,1
1488,0,55.0,4.0,52,Fanta,9115,1
1489,0,87.0,1.0,55,Fanta,301,1
1490,0,49.0,0.0,74,Bugbeer,7654,0
1491,0,85.0,2.0,18,Fanta,8036,0
1492,1,63.0,3.0,22,Strong beer,4175,1
1493,0,63.0,2.0,59,Strong beer,2853,1
1494,1,49.0,1.0,71,Bugbeer,4775,0
1495,0,35.0,2.0,53,Water,2695,1
1496,0,60.0,2.0,72,Cola,9791,1
1497,0,9.0,0.0,33,Beerbeer,6914,0
1498,0,79.0,0.0,31,Fanta,310,1
1499,1,77.0,2.0,27,Fanta,7180,0
1500,1,28.0,5.0,38,Strong beer,4157,1
1501,1,52.0,2.4767078189300413,47,Strong beer,1272,0
1502,0,7.0,5.0,55,Bugbeer,4545,1
1503,1,24.0,2.0,52,Bugbeer,7638,0
1504,0,22.0,2.0,56,Water,4600,0
1505,1,50.0,0.0,34,Beerbeer,9211,0
1506,1,23.0,1.0,25,Fanta,1071,1
1507,1,21.0,5.0,15,Water,4928,1
1508,1,38.0,3.0,19,Cola,7057,1
1509,0,14.0,3.0,11,Cola,991,1
1510,0,51.0,0.0,70,Strong beer,4071,1
1511,0,9.0,2.0,31,Cola,6614,0
1512,1,90.0,3.0,67,Fanta,3611,0
1513,1,64.0,2.4767078189300413,57,Fanta,8942,1
1514,1,45.0,1.0,47,Strong beer,9592,0
1515,0,59.0,3.0,55,Fanta,7788,0
1516,1,46.0,1.0,60,Fanta,3215,1
1517,1,15.0,0.0,80,Strong beer,1467,0
1518,1,95.0,0.0,65,Beerbeer,3629,0
1519,1,100.0,2.4767078189300413,58,Cola,8820,0
1520,1,69.0,5.0,71,Cola,1425,0
1521,0,36.0,1.0,62,Water,1311,0
1522,0,13.0,0.0,80,Bugbeer,9016,0
1523,0,82.0,0.0,37,Fanta,6378,0
1524,0,8.0,0.0,59,Beerbeer,4435,0
1525,1,68.0,2.4767078189300413,71,Strong beer,9204,1
1526,1,0.0,4.0,51,Fanta,490,1
1527,1,1.0,5.0,57,Beerbeer,1403,1
1528,1,35.0,1.0,71,Cola,512,1
1529,0,62.0,3.0,25,Fanta,1569,1
1530,1,36.0,0.0,58,Fanta,3166,1
1531,1,8.0,2.0,29,Strong beer,953,1
1532,1,44.0,2.4767078189300413,28,Cola,8681,1
1533,0,93.0,2.0,50,Bugbeer,5288,1
1534,0,98.0,0.0,32,Strong beer,6622,0
1535,1,51.0,4.0,43,Water,3697,1
1536,1,67.0,1.0,15,Fanta,1541,1
1537,1,69.0,0.0,79,Bugbeer,3537,1
1538,1,40.0,5.0,18,Fanta,250,1
1539,1,89.0,3.0,48,Strong beer,5464,1
1540,1,94.0,2.0,73,Strong beer,5650,1
1541,1,6.0,3.0,79,Strong beer,5501,0
1542,0,48.0,0.0,57,Bugbeer,2536,1
1543,0,37.0,2.0,63,Cola,6900,1
1544,1,75.0,2.4767078189300413,42,Fanta,8766,0
1545,0,29.0,2.0,21,Cola,1015,1
1546,1,56.0,5.0,70,Strong beer,8039,0
1547,0,60.0,2.4767078189300413,59,Beerbeer,1057,0
1548,0,4.0,2.4767078189300413,38,Beerbeer,5863,1
1549,0,74.0,1.0,34,Strong beer,4413,0
1550,0,74.0,4.0,40,Water,6106,0
1551,0,29.0,4.0,63,Water,6973,1
1552,0,46.0,1.0,75,Beerbeer,2422,1
1553,0,39.0,1.0,17,Cola,4668,1
1554,1,28.0,4.0,38,Beerbeer,4917,1
1555,1,47.0,1.0,45,Water,9002,1
1556,1,71.0,0.0,31,Bugbeer,6492,0
1557,0,40.0,0.0,46,Water,226,1
1558,1,65.0,4.0,49,Bugbeer,5979,1
1559,0,49.0,1.0,22,Bugbeer,9284,1
1560,0,52.0,3.0,60,Bugbeer,5858,0
1561,1,20.0,5.0,16,Cola,935,1
1562,1,0.0,3.0,42,Water,5476,0
1563,0,4.0,1.0,44,Beerbeer,166,1
1564,1,29.0,4.0,55,Bugbeer,770,0
1565,1,20.0,5.0,30,Strong beer,8089,1
1566,0,33.0,2.0,37,Strong beer,7602,0
1567,0,9.0,3.0,54,Bugbeer,8079,0
1568,0,67.0,5.0,27,Fanta,1800,1
1569,1,60.0,0.0,63,Strong beer,7366,1
1570,1,28.0,5.0,19,Cola,7746,0
1571,1,100.0,4.0,68,Fanta,7808,0
1572,0,78.0,2.0,59,Bugbeer,3643,1
1573,1,1.0,4.0,36,Strong beer,5313,1
1574,1,18.0,1.0,12,Cola,6196,1
1575,1,8.0,0.0,66,Fanta,3456,1
1576,0,100.0,2.4767078189300413,15,Cola,4727,1
1577,0,14.0,0.0,39,Bugbeer,5364,1
1578,1,39.0,2.4767078189300413,49,Beerbeer,5438,1
1579,1,95.0,0.0,48,Water,9457,0
1580,1,98.0,3.0,54,Fanta,1705,0
1581,0,36.0,4.0,59,Beerbeer,2940,0
1582,0,95.0,0.0,28,Cola,6745,0
1583,0,58.0,5.0,49,Beerbeer,1811,1
1584,0,21.0,5.0,76,Bugbeer,1364,1
1585,0,100.0,3.0,67,Strong beer,6911,0
1586,1,75.0,2.0,37,Bugbeer,819,1
1587,1,48.0,5.0,56,Cola,7390,0
1588,0,40.0,3.0,38,Fanta,9969,1
1589,1,100.0,0.0,68,Cola,1726,1
1590,0,56.0,1.0,21,Bugbeer,2044,0
1591,0,97.0,3.0,19,Fanta,579,1
1592,0,50.0,1.0,77,Strong beer,2532,0
1593,0,22.0,4.0,35,Water,4153,1
1594,0,28.0,0.0,70,Beerbeer,9503,0
1595,1,93.0,5.0,37,Water,5937,1
1596,0,52.0,3.0,38,Strong beer,6204,1
1597,1,24.0,1.0,26,Strong beer,8067,0
1598,0,98.0,0.0,67,Water,2124,0
1599,1,99.0,2.0,40,Fanta,1865,1
1600,0,41.0,0.0,20,Water,156,1
1601,0,57.0,4.0,53,Fanta,5107,1
1602,0,71.0,5.0,33,Strong beer,5705,1
1603,0,75.0,2.4767078189300413,27,Strong beer,8811,0
1604,0,47.0,1.0,36,Beerbeer,3068,0
1605,0,100.0,2.0,35,Bugbeer,1528,0
1606,0,42.0,3.0,63,Fanta,728,1
1607,0,3.0,3.0,35,Bugbeer,305,1
1608,0,25.0,2.0,27,Fanta,9840,0
1609,1,68.0,4.0,79,Strong beer,838,1
1610,1,71.0,2.0,67,Bugbeer,967,0
1611,1,4.0,2.4767078189300413,72,Strong beer,6781,0
1612,0,90.0,0.0,64,Beerbeer,4189,1
1613,1,3.0,3.0,47,Water,6126,1
1614,0,100.0,4.0,49,Water,1698,1
1615,1,82.0,5.0,47,Strong beer,2398,1
1616,1,91.0,0.0,28,Water,2689,0
1617,1,40.0,0.0,39,Water,6033,1
1618,0,1.0,3.0,15,Water,7785,1
1619,0,56.0,3.0,56,Water,7677,0
1620,1,98.0,1.0,80,Water,8110,0
1621,0,94.0,5.0,10,Cola,9863,1
1622,1,26.0,5.0,11,Fanta,9781,1
1623,0,28.0,2.0,67,Cola,3367,0
1624,1,100.0,1.0,18,Water,1138,0
1625,1,45.0,4.0,26,Beerbeer,4078,1
1626,1,99.0,5.0,40,Beerbeer,8278,1
1627,0,95.0,1.0,29,Strong beer,9566,1
1628,0,100.0,3.0,15,Water,319,0
1629,1,0.0,5.0,45,Strong beer,5592,1
1630,1,2.0,1.0,28,Fanta,352,0
1631,0,22.0,2.0,15,Fanta,5319,1
1632,0,60.0,2.0,47,Beerbeer,335,0
1633,0,9.0,5.0,46,Water,5133,0
1634,1,25.0,1.0,30,Bugbeer,8603,1
1635,1,1.0,0.0,69,Bugbeer,4692,1
1636,0,68.0,5.0,21,Cola,4480,1
1637,0,22.0,2.0,72,Beerbeer,147,1
1638,1,28.0,4.0,47,Bugbeer,5178,1
1639,0,58.0,4.0,42,Fanta,112,1
1640,1,33.0,4.0,46,Fanta,5632,1
1641,1,53.0,3.0,63,Bugbeer,7241,0
1642,0,9.0,0.0,33,Fanta,6069,1
1643,1,72.0,2.0,64,Fanta,1442,0
1644,1,49.0,5.0,20,Fanta,2449,1
1645,0,36.0,2.0,10,Fanta,4611,1
1646,1,63.0,1.0,57,Beerbeer,9928,1
1647,0,100.0,3.0,20,Fanta,9607,1
1648,1,75.0,0.0,11,Cola,1808,1
1649,1,44.0,4.0,66,Fanta,8464,0
1650,0,75.0,0.0,41,Strong beer,2204,1
1651,0,1.0,1.0,53,Fanta,1308,1
1652,0,100.0,1.0,30,Bugbeer,501,0
1653,0,16.0,4.0,15,Cola,8940,0
1654,1,93.0,3.0,40,Strong beer,1282,1
1655,0,28.0,4.0,44,Strong beer,5688,1
1656,0,60.0,2.0,40,Bugbeer,7157,0
1657,0,3.0,0.0,31,Water,520,1
1658,0,9.0,5.0,19,Water,5304,1
1659,0,100.0,2.4767078189300413,29,Cola,1370,1
1660,0,4.0,1.0,44,Water,3995,1
1661,0,9.0,2.0,67,Strong beer,6530,0
1662,0,55.0,0.0,30,Fanta,4599,1
1663,0,77.0,1.0,56,Bugbeer,3452,1
1664,1,79.0,2.4767078189300413,21,Cola,4911,1
1665,0,45.0,2.0,45,Water,7037,0
1666,1,27.0,1.0,80,Bugbeer,2316,1
1667,1,91.0,1.0,35,Fanta,4111,1
1668,1,49.0,1.0,18,Water,6050,1
1669,0,83.0,4.0,13,Fanta,8996,0
1670,1,32.0,2.4767078189300413,71,Bugbeer,5614,0
1671,0,29.0,4.0,32,Bugbeer,923,1
1672,1,54.0,5.0,57,Bugbeer,5424,1
1673,1,2.0,3.0,32,Cola,2258,1
1674,0,96.0,2.4767078189300413,37,Bugbeer,364,1
1675,0,17.0,5.0,33,Fanta,7908,1
1676,1,65.0,4.0,57,Cola,6544,0
1677,0,1.0,2.4767078189300413,16,Water,3357,0
1678,1,76.0,1.0,32,Cola,5900,1
1679,1,61.0,2.0,26,Strong beer,9337,1
1680,0,6.0,2.0,21,Beerbeer,4807,1
1681,1,19.0,2.0,67,Bugbeer,9854,0
1682,1,45.0,0.0,41,Strong beer,508,1
1683,1,100.0,3.0,19,Cola,5534,1
1684,1,72.0,4.0,69,Beerbeer,3234,1
1685,1,100.0,3.0,50,Cola,1234,0
1686,1,80.0,5.0,16,Cola,4267,1
1687,1,94.0,2.4767078189300413,46,Water,4653,1
1688,1,72.0,1.0,71,Bugbeer,8191,0
1689,0,30.0,0.0,51,Water,5656,0
1690,0,86.0,2.4767078189300413,56,Bugbeer,9320,0
1691,1,99.0,1.0,50,Fanta,8327,0
1692,1,99.0,2.0,46,Bugbeer,2377,1
1693,1,18.0,1.0,24,Cola,7762,1
1694,0,41.0,2.4767078189300413,32,Beerbeer,3672,0
1695,0,0.0,4.0,44,Strong beer,1943,1
1696,1,88.0,3.0,63,Water,5929,1
1697,0,62.0,1.0,34,Beerbeer,6056,1
1698,1,94.0,5.0,48,Fanta,3520,1
1699,1,29.0,1.0,51,Beerbeer,2741,1
1700,1,31.0,2.0,80,Bugbeer,9319,1
1701,1,42.0,3.0,23,Strong beer,1110,1
1702,1,53.0,2.0,36,Strong beer,3020,1
1703,0,11.0,2.0,63,Bugbeer,6463,0
1704,1,71.0,5.0,23,Cola,713,1
1705,0,33.0,2.0,61,Water,3344,1
1706,0,62.0,3.0,46,Cola,1933,1
1707,0,100.0,5.0,40,Strong beer,5330,1
1708,0,73.0,4.0,72,Water,5195,1
1709,0,2.0,1.0,15,Water,8706,1
1710,1,84.0,0.0,62,Beerbeer,8667,1
1711,0,83.0,2.0,45,Beerbeer,901,0
1712,1,73.0,1.0,50,Bugbeer,4912,1
1713,1,81.0,0.0,39,Fanta,7399,1
1714,1,100.0,2.4767078189300413,77,Strong beer,3037,1
1715,0,58.0,4.0,30,Bugbeer,4177,1
1716,1,67.0,0.0,58,Beerbeer,9386,0
1717,1,71.0,3.0,43,Bugbeer,5511,0
1718,1,0.0,1.0,17,Cola,6905,0
1719,0,6.0,5.0,80,Fanta,3322,1
1720,1,83.0,1.0,29,Water,9919,0
1721,1,58.0,5.0,36,Fanta,485,1
1722,0,63.0,0.0,22,Beerbeer,8279,1
1723,0,48.0,2.0,71,Bugbeer,8159,1
1724,1,71.0,1.0,65,Bugbeer,6791,0
1725,0,40.0,3.0,41,Strong beer,6688,1
1726,1,36.0,1.0,34,Fanta,2260,0
1727,0,74.0,1.0,11,Fanta,5615,0
1728,0,24.0,2.0,60,Beerbeer,9326,0
1729,0,24.0,0.0,60,Bugbeer,3529,1
1730,0,31.0,2.0,72,Water,3946,1
1731,0,48.0,0.0,73,Water,5332,0
1732,1,77.0,3.0,71,Beerbeer,3700,1
1733,1,26.0,2.0,67,Beerbeer,5238,1
1734,0,5.0,2.4767078189300413,34,Water,172,1
1735,0,0.0,5.0,37,Water,5527,0
1736,0,35.0,4.0,64,Water,3761,1
1737,0,57.0,5.0,19,Fanta,5961,1
1738,0,100.0,2.0,63,Fanta,5244,1
1739,0,65.0,0.0,47,Beerbeer,3578,1
1740,0,47.0,5.0,20,Fanta,1767,0
1741,1,79.0,2.0,11,Fanta,1490,1
1742,0,50.0,1.0,43,Bugbeer,5947,1
1743,0,7.0,0.0,34,Water,3184,1
1744,0,12.0,1.0,24,Bugbeer,3779,1
1745,1,84.0,3.0,56,Fanta,3306,1
1746,0,2.0,2.0,29,Fanta,798,0
1747,0,95.0,0.0,52,Water,1623,1
1748,0,50.0,1.0,39,Beerbeer,4226,1
1749,0,50.0,3.0,72,Cola,6359,0
1750,0,6.0,5.0,23,Beerbeer,9794,1
1751,1,60.0,4.0,68,Cola,6150,1
1752,0,55.0,2.4767078189300413,41,Water,7832,1
1753,0,37.0,1.0,31,Bugbeer,1094,0
1754,1,1.0,0.0,63,Strong beer,284,1
1755,0,26.0,1.0,18,Fanta,3851,1
1756,0,73.0,0.0,45,Bugbeer,308,0
1757,1,7.0,1.0,68,Bugbeer,7528,1
1758,0,28.0,2.0,77,Cola,1824,1
1759,1,6.0,4.0,67,Bugbeer,755,0
1760,1,55.0,1.0,19,Water,9346,0
1761,0,30.0,5.0,77,Beerbeer,2103,0
1762,1,64.0,3.0,37,Bugbeer,3081,1
1763,1,45.0,1.0,56,Fanta,7992,0
1764,1,89.0,3.0,10,Fanta,230,1
1765,1,82.0,1.0,10,Water,3475,1
1766,0,25.0,3.0,32,Strong beer,217,0
1767,0,61.0,2.0,59,Beerbeer,9188,0
1768,1,18.0,2.4767078189300413,56,Bugbeer,7923,1
1769,0,45.0,2.4767078189300413,44,Bugbeer,1125,1
1770,0,44.0,1.0,10,Water,5287,1
1771,0,39.0,2.4767078189300413,74,Bugbeer,5938,0
1772,0,52.0,3.0,53,Strong beer,5209,1
1773,0,55.0,3.0,43,Strong beer,5789,1
1774,0,26.0,2.0,49,Cola,2729,0
1775,1,95.0,2.0,72,Beerbeer,8748,0
1776,1,11.0,2.4767078189300413,65,Water,43,1
1777,0,85.0,4.0,17,Cola,5930,1
1778,1,33.0,2.0,48,Bugbeer,8980,0
1779,1,12.0,4.0,54,Strong beer,6195,1
1780,1,30.0,3.0,48,Cola,442,1
1781,1,99.0,1.0,62,Beerbeer,4509,0
1782,0,41.0,2.0,28,Bugbeer,6368,1
1783,0,57.0,2.0,54,Strong beer,2874,0
1784,0,65.0,0.0,62,Fanta,3634,0
1785,0,33.0,4.0,48,Bugbeer,5892,1
1786,0,63.0,0.0,55,Strong beer,6057,1
1787,0,36.0,2.0,22,Bugbeer,3406,0
1788,1,78.0,2.0,60,Cola,3870,0
1789,0,29.0,1.0,51,Bugbeer,7727,0
1790,0,13.0,3.0,29,Cola,4826,0
1791,1,14.0,1.0,45,Cola,7406,0
1792,0,86.0,0.0,71,Bugbeer,2765,0
1793,1,26.0,5.0,47,Beerbeer,2134,1
1794,0,23.0,5.0,24,Fanta,6308,1
1795,0,69.0,2.0,22,Fanta,5088,1
1796,1,43.0,0.0,64,Beerbeer,8544,1
1797,1,55.0,3.0,64,Bugbeer,9517,1
1798,0,88.0,0.0,78,Fanta,758,0
1799,0,9.0,0.0,69,Cola,715,1
1800,1,54.0,1.0,69,Fanta,8358,1
1801,0,59.0,1.0,34,Fanta,1915,1
1802,0,42.0,2.0,62,Water,5521,1
1803,1,89.0,1.0,14,Water,3695,1
1804,1,68.0,1.0,11,Cola,6038,0
1805,1,73.0,1.0,19,Fanta,8322,0
1806,0,76.0,1.0,72,Fanta,8286,1
1807,1,65.0,5.0,40,Beerbeer,6328,1
1808,1,85.0,4.0,45,Fanta,1617,0
1809,1,31.0,2.0,39,Bugbeer,8272,0
1810,1,26.0,2.0,47,Water,597,1
1811,1,10.0,1.0,36,Fanta,2331,0
1812,0,44.0,4.0,12,Fanta,8708,0
1813,0,100.0,0.0,13,Cola,8452,0
1814,1,14.0,2.0,35,Water,3503,1
1815,1,100.0,4.0,56,Bugbeer,6920,1
1816,1,96.0,0.0,59,Beerbeer,2825,1
1817,1,75.0,2.4767078189300413,60,Strong beer,5642,1
1818,0,82.0,4.0,12,Fanta,5550,1
1819,0,100.0,0.0,78,Water,7271,0
1820,0,98.0,5.0,40,Cola,7603,1
1821,0,65.0,4.0,35,Beerbeer,5626,1
1822,1,72.0,4.0,47,Strong beer,6327,1
1823,1,79.0,2.4767078189300413,51,Water,7482,0
1824,1,91.0,5.0,71,Bugbeer,5745,1
1825,0,30.0,2.0,80,Bugbeer,5676,1
1826,1,25.0,0.0,40,Water,3264,1
1827,0,100.0,0.0,37,Water,7018,0
1828,0,20.0,1.0,13,Cola,9265,1
1829,1,12.0,4.0,35,Cola,2197,1
1830,1,18.0,0.0,15,Water,3302,0
1831,0,67.0,1.0,24,Bugbeer,2509,1
1832,1,69.0,5.0,23,Bugbeer,4913,1
1833,1,35.0,5.0,35,Beerbeer,4991,1
1834,1,100.0,4.0,60,Strong beer,9595,1
1835,0,40.0,2.4767078189300413,10,Fanta,828,1
1836,1,43.0,0.0,52,Strong beer,9448,0
1837,1,46.0,3.0,63,Beerbeer,1842,1
1838,0,92.0,2.0,22,Beerbeer,4241,1
1839,1,92.0,4.0,74,Strong beer,1368,0
1840,1,23.0,1.0,49,Beerbeer,5335,0
1841,0,74.0,3.0,61,Bugbeer,7774,0
1842,0,71.0,5.0,52,Bugbeer,3909,1
1843,0,51.0,4.0,68,Bugbeer,1478,0
1844,1,40.0,0.0,21,Cola,6577,1
1845,1,68.0,1.0,32,Bugbeer,3976,0
1846,0,23.0,0.0,63,Fanta,1668,0
1847,1,96.0,3.0,19,Water,2849,0
1848,0,26.0,0.0,35,Bugbeer,6856,1
1849,0,73.0,2.4767078189300413,10,Cola,8096,0
1850,1,2.0,3.0,32,Bugbeer,9826,0
1851,1,66.0,3.0,10,Water,7437,1
1852,0,53.0,3.0,31,Cola,9086,0
1853,0,23.0,0.0,58,Water,7169,1
1854,1,26.0,2.0,53,Bugbeer,3,0
1855,1,68.0,2.4767078189300413,72,Water,4999,0
1856,1,85.0,2.0,71,Cola,6052,1
1857,1,56.0,1.0,28,Bugbeer,5672,1
1858,1,85.0,0.0,10,Fanta,588,1
1859,0,28.0,2.0,47,Fanta,2656,0
1860,0,92.0,2.0,69,Bugbeer,9482,0
1861,1,73.0,5.0,35,Fanta,6455,1
1862,0,35.0,5.0,56,Fanta,8016,1
1863,1,32.0,3.0,14,Fanta,8637,1
1864,1,97.0,5.0,79,Water,9666,0
1865,0,9.0,1.0,40,Water,7986,0
1866,0,73.0,3.0,54,Fanta,6539,0
1867,0,47.0,2.0,59,Fanta,4132,0
1868,1,14.0,0.0,32,Fanta,8306,0
1869,0,66.0,5.0,58,Cola,565,0
1870,0,57.0,5.0,78,Water,8317,1
1871,1,63.0,0.0,13,Fanta,9494,0
1872,1,89.0,0.0,49,Fanta,3512,1
1873,1,40.0,2.4767078189300413,22,Bugbeer,8363,1
1874,0,82.0,0.0,48,Cola,9585,1
1875,0,19.0,1.0,53,Water,9875,1
1876,0,65.0,2.0,40,Fanta,2226,0
1877,1,62.0,4.0,22,Cola,6827,1
1878,1,89.0,2.0,68,Strong beer,9555,0
